country_of_origin,region,altitude,company
Costa Rica,san ramon,1300 msnm,the coffee source inc.
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,
Peru,cajamarca,,sustainable harvest
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
Costa Rica,west valley,1300,the coffee source inc.
Costa Rica,san ramon,1300 msnm,the coffee source inc.
United States (Hawaii),kona,,kona pacific farmers cooperative
Ethiopia,sidamo,,
United States (Hawaii),kona,,kona pacific farmers cooperative
Costa Rica,tarrazu,1750,coopetarrazú.r.l
Costa Rica,tarrazu,1700,coopetarrazú.r.l
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
Guatemala,,,volcafe specialty coffee
United States (Hawaii),kona,,kona pacific farmers cooperative
Costa Rica,,,thrive farmers
Ecuador,"province of manabi, ecuador",800 meters above sea level,sultana del cafe inc.
Ethiopia,sidamo,,
United States (Puerto Rico),yauco region,2800 ft,"hacienda alto grande, llc."
United States (Hawaii),kona,,kona pacific farmers cooperative
Guatemala,quetzaltenango,1300 mts,the coffee source inc.
United States (Hawaii),kona,,kona pacific farmers cooperative
Costa Rica,san ramon,1300 msnm,the coffee source inc.
United States (Hawaii),kona,,kona pacific farmers cooperative
Peru,,,sustainable harvest
Haiti,"thiotte, haiti",4200 feet,itiah coffee llc.
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
Colombia,,,green mountain coffee
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,cqi
United States (Puerto Rico),yauco region,2800 ft,"hacienda alto grande, llc."
United States (Hawaii),kona,,cqi
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,cqi
Mexico,veracruz,,sustainable harvest
United States (Hawaii),kona,,cqi
Peru,peru,huanuco,sustainable harvest
Mexico,veracruz,,sustainable harvest
United States (Hawaii),kona,,kona pacific farmers cooperative
Colombia,,,cafe politico
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,cqi
Nicaragua,,,volcafe specialty coffee
United States (Hawaii),kona,,kona pacific farmers cooperative
Brazil,,,cafe politico
Mexico,veracruz,,sustainable harvest
United States (Hawaii),kona,,cqi
Haiti,"dondon, haiti",400-1250m,haiti coffee
Peru,puno,,sustainable harvest
Guatemala,huehuetenango,1700m,essence coffee
United States,central america,5600 feet,conscious bean coffee
United States (Puerto Rico),yauco region,2800 ft,"hacienda alto grande, llc."
United States (Hawaii),,,kpfc
United States (Hawaii),kona,,kona pacific farmers cooperative
Nicaragua,matagalpa,between 700 and 1400 meters,volcafe specialty coffee
United States (Hawaii),kona,,cqi
Costa Rica,san ramon,1300 msnm,the coffee source inc.
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,cqi
Ethiopia,kelem welega,,
United States (Hawaii),kona,,kona pacific farmers cooperative
Nicaragua,,,costco wholesale industries
Ethiopia,limu,,
United States (Hawaii),kona,,kona pacific farmers cooperative
Peru,huanuco,,sustainable harvest
Colombia,pereira,1200,the coffee source inc.
United States (Puerto Rico),yauco region,2800 ft,"hacienda alto grande, llc."
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
Brazil,,,green mountain coffee
United States (Hawaii),kona,,kona pacific farmers cooperative
Haiti,"dondon, haiti",400-1250m,haiti coffee
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
United States (Hawaii),kona,,kona pacific farmers cooperative
Colombia,,,costco wholesale industries
United States (Hawaii),kona,,kona pacific farmers cooperative
Haiti,marmelade,640m-1400m,
India,,,cafe politico
Vietnam,,,cafe politico
Ethiopia,guji-hambela,1950-2200,metad agricultural developmet plc
Ethiopia,guji-hambela,1950-2200,metad agricultural developmet plc
Ethiopia,oromia,1800-2200,yidnekachew debessa coffee plantation
Ethiopia,guji-hambela,1950-2200,metad agricultural developmet plc
Brazil,,,
Peru,,,richmond investment-coffee department
Ethiopia,"snnp/kaffa zone,gimbowereda",1795-1850,diamond enterprise plc
Ethiopia,oromia,1855-1955,fahem coffee plantation
United States,antioquia,meters above sea level: 1.872,coffee quality institute
United States,antioquia,meters above sea level: 1.943,coffee quality institute
United States,antioquia,meters above sea level: 2.080,coffee quality institute
China,yunnan,1450,yunnan coffee exchange
Ethiopia,gedio,1700-2000m,essence coffee
United States,antioquia,meters above sea level: 2.019,coffee quality institute
Mexico,xalapa,1320,
United States,antioquia,meters above sea level: 2.112,coffee quality institute
Ethiopia,sidamo,,
Brazil,south of minas,1250m,nucoffee
Uganda,kapchorwa eastern,1950,kabum trading company
Honduras,comayagua,1400,cigrah s.a de c.v
Taiwan,"leye, alishan township, chiayi county",1200,taiwan coffee laboratory
"Tanzania, United Republic Of",,,
Brazil,vale da grama,1300,nucoffee
Ethiopia,oromia,1750-1800,haider abamecha coffee export
Kenya,muranga,1800,c dorman ltd
United States,antioquia,meters above sea level: 1.941,coffee quality institute
Thailand,chiang rai,1300,lanna cafe
Brazil,sul de minas - carmo de minas,1.2,
Brazil,sul de minas - carmo de minas,1.2,
Taiwan,natou county,1000 m,taiwan coffee laboratory
Kenya,nyeri,1754,keremara limited
Brazil,south of minas,1250m,nucoffee
Uganda,eastern uganda,,ucda
Colombia,tolima,900-1500m,lusso coffee lab
Kenya,kiambu,1520m-2200m,lusso coffee lab
Uganda,"sipi, mt elgon",1400-1900m,kawacom uganda ltd
Guatemala,nuevo oriente,,"unex guatemala, s.a."
Uganda,eastern,1400-1900,kawacom uganda ltd
Colombia,huila,1800 msnm,exportadora de cafe condor s.a
Panama,boquete,1600,ce specialty s.a.
Ethiopia,oromia,1800-2000,ibrahim hussien specality coffee product & exporter
Guatemala,acatenango,5000,sertrasa
Guatemala,nuevo oriente,4650,unicafe
Ethiopia,addis ababa,,seid damtew coffee planation
Papua New Guinea,eastern highlands province,1700 mts,cqi
El Salvador,apaneca,1500 meters,atlantic specialty coffee
El Salvador,"ataco, apaneca - ilamatepec mountain range",1300~1400 m.s.l,lusso coffee lab
Panama,boquete,1680,essence coffee
Kenya,kirinyaga,1900m,essence coffee
Ethiopia,oromia,1800-2000,assefa belay coffee producer
Uganda,bulambuli eastern region,1600,kyagalanyi coffee ltd
Guatemala,huehuetenango,5600-5760 metros,exportcafe
Ethiopia,oromia,1800-2000,assefa belay coffee producer
Uganda,kapchorwa,1950,great lakes coffee
Brazil,south of minas,1250m,nucoffee
China,yunnan,1700,yunnan coffee exchange
Guatemala,huehuetenango,1770,essence coffee
Kenya,central kenya,above 1600 m,rashid moledina & co. (msa) ltd
Kenya,central kenya,above 1200 m,ibero kenya limited
Guatemala,oriente,,"unex guatemala, s.a."
Colombia,santander,1550 msnm,exportadora de cafe condor s.a
Colombia,santander,1550,ecom cca sa
Indonesia,lintong,1250-1400 meter,"nomura trading co., ltd."
Guatemala,huehuetenango,1400 msm,the coffee source inc.
Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",,seid damtew coffee planation
Colombia,pasto,2.560 msnm,carcafe ltda
Ethiopia,aricha,1700,the specialty coffee appraisers institute of asia
Colombia,cundinamarca,2136 msnm,carcafe ltda
Ethiopia,sidamo,,
Uganda,eastern uganda,1800,kyagalanyi coffee ltd
Colombia,huila,,racafe & cia s.c.a
Costa Rica,tarrazu,1900,bold coast coffee
Mexico,veracruz,1300,"cafetal el equimite, rancho agroecológico, s.p.r. de r.l."
Kenya,,-1,c dorman ltd
Kenya,central kenya,1580,rashid moledina & co. (msa) ltd
Brazil,grama valley,1100m,nucoffee
Colombia,huila,,racafe & cia s.c.a
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Taiwan,natou county,800 m,taiwan coffee laboratory
"Tanzania, United Republic Of",mbeya,1620m,taylor winch (t) ltd
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Mexico,coatepec,1200,
Brazil,south of minas,1200m,nucoffee
Brazil,south of minas,1000 m,nucoffee
Taiwan,"dongshan dist., tainan city 臺南市東山區",350,taiwan coffee laboratory
Uganda,eastern,1400-1900,kawacom uganda ltd
Thailand,thailand,,matsuzawa coffee
Kenya,nyeri,1800,c dorman ltd
Honduras,marcala,1450 msnm,cadexsa
El Salvador,apaneca,1350,cafetalera del pacifico
Indonesia,"temanggung, indonesia",1200,pt. shriya artha nusantara
Costa Rica,tarrazu,1150,panamerican coffee trading
Guatemala,acatenango,1600,"waelti schoenfeld exportadores de cafe, s.a."
Ethiopia,yirgacheffe,1900m,essence coffee
Costa Rica,costa rica,1750m,essence coffee
Costa Rica,west valley,1200,coricafe s.a.
Costa Rica,,,thrive farmers
Colombia,santander,1550,ecom cca sa
Kenya,nyeri,2000,dream together inc.
Guatemala,oriente,4300,"unex guatemala, s.a."
Guatemala,acatenango,5000,sertrasa
Mexico,el remudadero,1200,organizaciones de productores de cafe colimense sa de cv
Uganda,mbale,1700-1850m,ugacof ltd
Colombia,santander,1500,racafe & cia s.c.a
Colombia,huila,,racafe & cia s.c.a
Kenya,nyeri,1800,c dorman ltd
Guatemala,jalapa,5000 ft.,"armajaro guatemala, s. a."
Guatemala,oriente,4000 psn,"unex guatemala, s.a."
Colombia,santander,1550,ecom cca sa
Colombia,huila,1600 a 1900 msnm,racafe & cia s.c.a
Kenya,,,taylor winch (coffee) ltd
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Costa Rica,tres rios,1450 ~ 1700 m,lusso coffee lab
Colombia,huila,1800 msnm,exportadora de cafe condor s.a
Brazil,vale da grama,1300m,nucoffee
Brazil,mountains of minas gerais,1100m,nucoffee
Uganda,eastern uganda,1750,kawacom uganda ltd
China,yunnan,1680,yunnan coffee exchange
China,yunnan,above 1100m,"puer jiangcheng fuwang coffee biotechnology co., ltd"
Guatemala,oriente,4300,"unex guatemala, s.a."
Kenya,nyeri,2000 m,dream together co. ltd
Mexico,hustusco,1350,
Mexico,jaltenango,1500,ecomtrading
Guatemala,"el tumbador, san marcos",,"transcafe, s.a"
Costa Rica,tarrazu,1300,beneficios volcafé costa rica
Indonesia,sumatra brastagi,1400,pt. olam indonesia
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Taiwan,"mountain ali, taiwan",1200m,tropica galliard
Mexico,tapachula,900,finca hamburgo
Honduras,comayagua,1500,cigrah s.a de c.v
Colombia,huila,,skn caribecafe ltda
Honduras,central region,1500,cigrah s.a de c.v
Colombia,la plata,,racafe & cia s.c.a
Colombia,huila,442 msnm,carcafe ltda
Colombia,huila,1800,exportadora de cafe condor s.a
Mexico,tuxtla gutierrez,1700,
Brazil,vale da grama,1200m to 1350m,
Brazil,south of minas,900-1200m,
Taiwan,國姓鄉 guoshing township,1000,taiwan coffee laboratory
Thailand,chiang rai thailand,1200,matsuzawa coffee
Colombia,nariño,2560,carcafe ltda
Guatemala,antigua,1500,"siembras vision, s.a."
Guatemala,huehuetenango,3607,exportcafe
China,yunnan,1400,yunnan coffee exchange
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Colombia,huila,442 msnm,carcafe ltda
"Tanzania, United Republic Of",shizingo village,1620m,tembo coffee company ltd
"Tanzania, United Republic Of",mbeya,1600,taylor winch (t) ltd
Guatemala,oriente,4000 psnm,"unex guatemala, s.a."
Colombia,cauca,1700,exportadora de cafe condor s.a
Mexico,san pedro cotzilnam,1450,carajillo café sa de cv
Mexico,veracruz,1170,
Mexico,"la concordia, chiapas",1400,ecomtrading
Uganda,kasese,1700m,bukonzo joint cfs
Guatemala,san marcos,1700,"unex guatemala, s.a."
Colombia,huila,,racafe & cia s.c.a
Costa Rica,tarrazu,1700,exclusive coffee - costa rica
Guatemala,huehuetenango,3664,exportcafe
Guatemala,solola,1565,cafcom
Guatemala,norte,3280,"unex guatemala, s.a."
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Nicaragua,jinotega,de 900 a 1100 msnm,cooperativa el gorrion r.l
Brazil,cerrado,1150,cafebras comercio de cafés do brasil sa
Costa Rica,tarrazu,1850,"ceca,s.a."
Ethiopia,snnprg; kafa; telo woreda; shada kebele,1545-1668 masl,asefa dukamo coffee plantetion
"Tanzania, United Republic Of",arusha,1400,selian coffee estate
Kenya,kenya,approx. 1'500 metres a.s.l.,taylor winch (coffee) ltd
Brazil,"minas gerais, br",894m - 1183m,café do paraíso
Guatemala,oriente,4300,"unex guatemala, s.a."
El Salvador,apaneca,1500 meters,atlantic specialty coffee
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Guatemala,guatemala,,unicafe
Uganda,mt. rwenzori,1500-1700m,great lakes coffee
Indonesia,aceh tengah,,pt. royal pacific indah international
Taiwan,"nanxi dist., tainan city 臺南市楠西區",968,taiwan coffee laboratory
Guatemala,oriente,,"unex guatemala, s.a."
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Guatemala,"aldea xeucalvitz, ixil region, quiche department",1550,lusso coffee lab
Mexico,santo domingo cacalotepec,1480,
Ethiopia,"ethiopia, sidamo",1800m,the specialty coffee appraisers institute of asia
Ethiopia,sidamo,1800,kyagalanyi coffee ltd
Honduras,comayagua,1500,cigrah s.a de c.v
Guatemala,huehuetenango,5440 - 5760 metros,exportcafe
Guatemala,oriente,4000 psnm,"unex guatemala, s.a."
Guatemala,oriente,4000 psnm,"unex guatemala, s.a."
Colombia,huila,1480,olam international ltd
Colombia,santander,1450,ecom cca sa
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
